"LHdens_a","LHdens_b","DenExp4","LogLikelihood","aic"
0.3,1.4,0.9,-19246.2488804637,38506.4977609274
0.3,1.2,0.1,-19184.483147807,38382.966295614
0.3,1.2,0.3,-19179.5581979572,38373.1163959143
0.3,1.2,0.5,-19192.0446398855,38398.0892797711
0.3,1.2,0.7,-19207.0310602547,38428.0621205094
0.3,1.2,0.9,-19221.9779047586,38457.9558095171
0.4,0.6,0.1,-19187.2253485994,38388.4506971989
0.4,0.6,0.3,-19173.1757746011,38360.3515492022
0.4,0.6,0.5,-19177.5494855897,38369.0989711793
0.4,0.6,0.7,-19185.552764295,38385.10552859
0.4,0.6,0.9,-19194.5859232,38403.1718464
0.4,0.8,0.1,-19187.4698598572,38388.9397197144
0.4,0.8,0.3,-19174.8114749801,38363.6229499602
0.4,0.8,0.5,-19180.2791147899,38374.5582295798
0.4,0.8,0.7,-19189.11637181,38392.23274362
0.4,0.8,0.9,-19198.7856742083,38411.5713484167
0.4,1,0.1,-19189.9403638293,38393.8807276587
0.4,1,0.3,-19179.9506181887,38373.9012363773
0.4,1,0.5,-19187.3899465274,38388.7798930548
0.4,1,0.7,-19197.8361479208,38409.6722958415
0.4,1,0.9,-19208.8620816326,38431.7241632652
0.4,1.4,0.1,-19202.5034517471,38419.0069034942
0.4,1.4,0.3,-19202.4207961414,38418.8415922828
0.4,1.4,0.5,-19217.5597889291,38449.1195778581
0.4,1.4,0.7,-19234.5080857176,38483.0161714351
0.4,1.4,0.9,-19249.5419808774,38513.0839617547
0.4,1.2,0.1,-19195.1052532956,38404.2105065912
0.4,1.2,0.3,-19189.3635001515,38392.727000303
0.4,1.2,0.5,-19200.0781035392,38414.1562070784
0.4,1.2,0.7,-19213.4645048455,38440.9290096909
0.4,1.2,0.9,-19227.04898199,38468.0979639799
