"Cdens_a","Cdens_b","DenExp1","LogLikelihood","aic"
1.3,0.8,0.5,-18979.5161890829,37973.0323781657
1.3,0.8,0.7,-18996.6100578344,38007.2201156687
1.3,0.8,0.9,-19021.3445633298,38056.6891266595
1.3,1.4,0.1,-18963.057026943,37940.114053886
1.3,1.4,0.3,-18955.7940663613,37925.5881327226
1.3,1.4,0.5,-18998.5789490321,38011.1578980642
1.3,1.4,0.7,-19061.3265464952,38136.6530929904
1.3,1.4,0.9,-19120.6919218164,38255.3838436329
1.3,1.6,0.1,-18957.9004768622,37929.8009537243
1.3,1.6,0.3,-18969.9668626113,37953.9337252227
1.3,1.6,0.5,-19036.6770892708,38087.3541785417
1.3,1.6,0.7,-19113.0893938283,38240.1787876567
1.3,1.6,0.9,-19171.6049485183,38357.2098970366
